iso3c,countryname,year,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,total
BIH,Bosnia and Herzegovina,2020,64570,78770,88330,80890,104620,91110,105590,118900,109010,111860,117130,140160,126470,118030,81260,59710,52720,15900,7380,1700,130,1674240
BWA,Botswana,2020,134230,132150,121890,111440,100950,100080,97480,94760,80000,59700,42810,37980,35430,26600,17070,11560,5520,2220,590,60,0,1212520
BRA,Brazil,2020,7070450,7136980,7319060,7964690,8466490,8418590,8576220,8735130,7956790,7079050,6652000,6089810,5044880,4034220,2957960,2011190,1395700,752230,349830,96880,15480,108123630
BRN,Brunei Darussalam,2020,15420,16780,15170,16400,16700,16450,17830,17790,16910,15770,13800,10650,8370,5710,3260,1670,1190,510,130,20,0,210530
BGR,Bulgaria,2020,151940,163640,180220,152500,144530,188660,232910,228440,259360,256710,236170,237860,247580,254540,249780,176280,124010,67290,18870,2940,110,3574340
BFA,Burkina Faso,2020,1705600,1512780,1336470,1130960,944920,786300,658050,556510,454450,359960,293830,232520,180750,132070,89430,53380,22990,6440,1060,90,0,10458560
BDI,Burundi,2020,1016420,902510,751530,607970,523640,497980,442250,335470,227380,158360,140100,123680,106160,73550,39250,24530,13290,5320,1320,200,10,5990920
CPV,Cape Verde,2020,25620,26190,25290,24380,22580,25210,24800,21570,16900,13500,12810,12220,8740,6480,3150,2970,2580,1450,410,40,0,276890
KHM,Cambodia,2020,871690,858560,800690,727380,754490,779850,639170,851360,333870,422010,391390,356340,276710,218960,133480,80240,40200,15910,3700,520,30,8556550
CMR,Cameroon,2020,2037880,1848490,1647540,1420200,1206120,1064780,930210,768730,600750,470250,368260,286650,219800,167530,115950,70170,33830,10150,1430,70,0,13268790
CAN,Canada,2020,972210,966020,968770,971040,1155240,1343610,1310410,1330400,1239080,1193690,1207500,1378180,1287330,1102780,925430,657540,458650,313370,169080,52590,7070,19009990
CAF,Central African Republic,2020,366180,346750,332450,298240,241010,178510,138410,112310,92720,80030,67030,55440,44940,33490,22570,14970,7700,2540,420,30,0,2435740
TCD,Chad,2020,1454930,1256680,1089600,925950,765780,622400,494220,388790,304120,237350,184640,151880,125260,98560,60230,37340,18950,7030,1710,250,20,8225690
NA,Channel Islands,2020,4240,4420,4090,4550,5060,5540,5840,5950,5820,6680,6950,6350,5400,4730,4030,3000,2370,1580,830,290,70,87790
CHL,Chile,2020,570360,621870,614050,611780,690830,783760,760570,692550,661080,632830,619290,587200,514840,432900,317940,235870,166730,104880,53140,15110,2950,9690530
CHN,China,2020,39476110,40415040,38912830,38238740,40884300,46466160,62295740,48745950,46984790,58664270,61097360,48782450,38596850,37622980,23524530,14337340,9297790,4738690,1573800,358820,61920,701076460
HKG,"China, Hong Kong SAR",2020,174030,141050,134860,129000,185450,265880,308970,354220,339870,330270,323680,344000,296890,236060,176070,91700,96420,71630,40030,14250,3000,4057330
MAC,"China, Macao SAR",2020,17570,15970,11790,10880,17600,26310,35970,32060,22280,27790,27370,28730,22440,17100,10020,4800,3650,2920,1510,440,70,337270
TWN,"China, Taiwan Province of China",2020,487140,500810,469060,580690,720700,784470,796460,962740,1026830,886110,914160,952390,863470,749360,468600,330410,254040,147580,66580,18320,2560,11982480
COL,Colombia,2020,1811780,1809770,1894700,2079570,2174900,2190590,2024700,1903240,1773280,1607490,1537390,1395720,1129430,913140,649780,445770,298000,166490,70450,19490,2660,25898340
COM,Comoros,2020,60600,56050,49960,44070,39180,35140,31460,26600,21220,17180,14140,11570,9070,6410,3840,2540,1310,480,110,20,0,430950
COG,Congo - Brazzaville,2020,406580,381730,340010,285010,237400,198550,176630,163320,146920,121220,95150,71010,51040,36610,25060,15230,7360,2270,330,20,0,2761450
CRI,Costa Rica,2020,169900,174630,173620,177680,196170,208620,212670,196070,174010,153100,155310,151760,125400,92720,72700,49690,33410,19500,9000,2660,430,2549050
CIV,Cote dIvoire,2020,2052830,1800900,1593600,1452430,1274260,1065930,873970,715060,584500,451420,350580,280800,221470,162230,99250,61410,28220,7950,1040,50,0,13077900
HRV,Croatia,2020,89320,97510,102840,95710,115040,115470,126750,138480,141860,133970,142310,154870,151470,147120,117180,95320,86610,51510,19320,3120,190,2125970
CUB,Cuba,2020,277780,305430,293420,312230,341080,347270,407710,340040,304960,470450,508990,498370,314750,300740,238900,192760,129720,70940,34120,11530,1950,5703140
CUW,Curaçao,2020,4400,5040,5150,5410,4640,5120,5060,5280,5270,6160,6500,7220,6400,5410,4420,3100,2120,1200,530,170,40,88640
CYP,Cyprus,2020,31430,32820,32840,35460,43850,46450,46570,46630,44920,40380,38860,35540,33490,28360,24220,17950,13200,7200,2960,640,80,603850
CZE,Czechia,2020,271650,269810,279260,237760,230210,310430,349030,369020,453040,423580,340770,328050,330610,363790,342030,245730,147500,96060,39090,8720,310,5436450
PRK,Dem. People's Republic of Korea,2020,852190,822740,824290,918770,947840,974410,911480,884040,771600,1077020,1078270,759810,777630,377910,460540,380070,234930,90150,23100,3420,250,13170460
COD,Congo - Kinshasa,2020,7835540,6771480,5721670,4711820,3860590,3223400,2681120,2225460,1832630,1508780,1235500,991050,774250,581470,429310,268750,134890,49610,12060,1720,140,44851240
DNK,Denmark,2020,150220,144840,163710,166170,182170,196890,174190,157970,180320,189510,207830,194840,175120,159060,179650,125830,83100,47840,24680,7810,1110,2912860
DJI,Djibouti,2020,48960,48410,39920,40990,41300,40240,41120,37150,31460,24850,20600,17020,12860,9200,7110,4400,2270,880,230,30,0,469000
DOM,Dominican Republic,2020,491040,488280,478990,470060,462350,456260,415920,366420,336560,307630,277340,243100,199920,152490,107760,73760,52300,29840,13460,4770,1460,5429710
ECU,Ecuador,2020,814610,787670,760870,765540,770690,727720,679030,615340,554100,501770,440120,372030,310210,253080,173170,130490,84430,47230,21410,7580,2130,8819220
EGY,Egypt,2020,6168600,5976530,4698340,4225350,4105320,3998230,3999180,3512050,2979330,2481360,2143710,1828450,1509510,1120880,907750,500340,291320,134930,41670,7930,790,50631570
SLV,El Salvador,2020,281360,278570,282960,292080,322240,306830,259850,230010,216710,196050,173920,152690,128070,108840,81500,63100,42860,22370,7840,1760,180,3449790
GNQ,Equatorial Guinea,2020,98750,84830,70990,59780,57820,56030,52580,39410,26860,19570,16750,12070,9760,7750,4740,3000,1420,450,60,0,0,622620
ERI,Eritrea,2020,242290,233030,238270,183460,141930,142610,134000,95690,72380,71520,45580,43040,35420,32940,26230,16890,8790,3560,1020,210,20,1768880
EST,Estonia,2020,33340,36410,36460,30320,28440,41280,47860,44530,42900,47350,38960,46600,47120,49280,32620,36150,31160,17630,8000,1560,120,698090
SWZ,Eswatini,2020,71160,70980,73680,63870,54060,48320,44470,44740,33950,22420,12970,10000,9660,9480,8470,6150,3730,1470,320,40,0,589940
ETH,Ethiopia,2020,8271180,7525560,6854130,6432600,5816170,4802450,3757540,3182840,2488420,2033230,1660960,1316320,1109670,832540,648560,400730,202970,84730,22460,3430,260,57446750
FJI,Fiji,2020,43470,42870,40600,36540,35220,34470,32530,33230,27590,24080,23410,21860,17630,12180,8490,4950,2440,710,130,10,0,442410
FIN,Finland,2020,128870,148700,151730,144440,152610,175410,168470,174370,168510,153960,174780,185590,182050,185270,190120,125150,94970,62430,31850,8210,820,2808310
FRA,France,2020,1769560,1911570,1950960,1901840,1828070,1851940,2009580,2074170,1999760,2213130,2216970,2192450,2070460,2005690,1896420,1222280,1071980,854080,470530,156430,16450,33684320
GUF,French Guiana,2020,17400,14800,14330,14390,12680,10790,10000,10650,9880,8870,7570,5900,5060,3620,2150,1550,670,380,190,60,10,150950
PYF,French Polynesia,2020,9810,9410,11240,10060,10650,9370,11510,10580,9260,10310,9020,8300,6040,5150,2890,2560,1370,840,230,60,10,138670
GAB,Gabon,2020,158490,138560,113810,96130,89120,92890,92910,76380,58260,46790,37270,27800,20730,16120,11950,8580,4880,1870,320,20,0,1092880
GMB,Gambia,2020,202720,174650,148710,128300,115030,102080,81890,63970,51230,39830,34890,26430,16950,12880,9730,5660,2400,670,110,10,0,1218140
GEO,Georgia,2020,130090,137040,120040,102210,110220,131860,145590,139880,135610,131430,130590,151340,139560,123370,92090,63530,65850,25750,10270,1540,110,2087970
DEU,Germany,2020,1976340,1851880,1832310,1968750,2170940,2302130,2619020,2655700,2507870,2576010,3328290,3413970,2966000,2532360,2042710,2005710,1899980,1022250,521590,158530,15730,42368070
GHA,Ghana,2020,2040330,1903360,1703420,1533920,1397890,1239690,1107550,945290,803390,699210,595680,479820,345890,223970,160410,88620,39680,12360,2250,210,10,15322950
GRC,Greece,2020,198280,228090,262840,257250,258970,251020,287610,361720,383860,396830,403430,366670,356450,311930,296800,223540,229480,155600,61480,13820,1580,5307250
GRD,Grenada,2020,4400,4450,4190,3680,4290,4750,4560,4420,3270,3020,2870,3080,2880,1920,1460,1160,820,440,170,30,0,55860
GLP,Guadeloupe,2020,11260,10870,13910,14700,13950,9000,9160,10720,12770,15860,17000,17120,14600,13080,10580,7850,5710,4110,2230,850,220,215550
GUM,Guam,2020,6590,6540,6460,6750,6590,6430,5820,5030,4770,5100,4950,4830,3950,3320,2630,1570,1280,730,240,60,10,83650
GTM,Guatemala,2020,1010070,969480,942380,953920,889330,804030,687370,610350,509310,407020,323470,261950,217910,180150,122830,89040,60320,33560,12870,2790,320,9088470
GIN,Guinea,2020,1042820,926610,837610,748230,645270,530380,429990,350780,284240,232550,197280,170190,142250,110720,66410,40280,17990,5090,810,60,0,6779560
GNB,Guinea Bissau,2020,151170,137660,120920,103610,91360,82590,71910,60410,46180,36070,27130,22450,18900,16290,9650,5740,2460,720,100,10,0,1005330
GUY,Guyana,2020,35960,35800,34630,37140,37040,33110,21950,24590,22710,22820,21250,18640,15280,11640,7790,4440,3700,1290,800,390,70,391040
HTI,Haiti,2020,619180,608270,592090,568690,536370,496320,460860,422310,324780,252260,221150,192450,153330,123620,83850,61430,36140,16100,5320,1320,240,5776080
HND,Honduras,2020,496590,483850,501570,510080,498860,439730,389450,344920,294670,241430,199150,157750,126200,98070,66500,45580,31330,18790,8390,2480,340,4955730
HUN,Hungary,2020,224090,218060,235640,236120,252380,309830,299170,319810,404940,385110,329690,290100,348760,381230,285020,235570,165550,95390,34960,10170,480,5062070
ISL,Iceland,2020,9960,11140,11230,10610,10890,12400,11460,11520,10830,10440,10460,10870,10230,8520,6920,4980,3340,2530,1160,320,40,169850
IND,India,2020,55651090,56104960,59853320,59374710,57638990,55357930,53301210,49466260,43588650,38683680,33673300,29106000,24195860,19092150,12463540,8020960,4657550,1955560,555800,131220,30700,662903440
IDN,Indonesia,2020,11565560,11886870,11174790,11310290,11027510,10278030,10018020,10603160,9787220,8996890,7947050,6659930,5245490,3575890,2525490,1685010,1002250,384800,113430,16900,1190,135805770
IRN,Iran,2020,3724260,3361590,3032120,2700240,2755070,3404230,4254860,4152340,3220370,2556250,2296890,1850730,1572480,1135910,738070,435170,244770,115360,29180,4400,280,41584570
IRQ,Iraq,2020,2612360,2542390,2218130,2022770,1858450,1646730,1434790,1214220,1061170,896240,730590,495860,363400,339980,178360,134950,74910,30320,7770,1200,130,19864720
IRL,Ireland,2020,152090,174420,174660,153160,143020,136460,156020,198060,202940,185760,156800,145600,126860,117550,101040,69970,48450,26790,12300,3990,520,2486460
ISR,Israel,2020,413200,400500,358770,324760,303850,279870,279300,278800,273340,250510,212040,194440,183870,188120,154280,93790,72520,51180,26030,7460,790,4347420
ITA,Italy,2020,1127410,1295570,1387180,1391640,1415930,1535700,1662540,1808650,2096660,2431950,2487780,2384060,2050520,1851700,1805040,1454790,1344030,893200,453130,133180,13460,31024120
JAM,Jamaica,2020,112920,114590,111730,117370,128130,125260,115030,108310,94550,93550,89150,76110,66460,46180,36140,25380,16940,9440,3600,620,70,1491530
JPN,Japan,2020,2324650,2628010,2707640,2775860,2921300,2998890,3314220,3747590,4161220,4915960,4293820,3918350,3762670,4283160,4814860,3897290,3129210,2347550,1290190,422130,68860,64723430
JOR,Jordan,2020,515600,566160,562780,515170,466020,427700,384420,350110,295410,257750,209130,160420,111230,76810,59600,43270,23440,9430,2390,310,20,5037170
KAZ,Kazakhstan,2020,929750,946530,779070,544570,536340,733090,842510,669720,602520,568800,519000,576490,457860,379730,201230,158530,151790,45240,18040,2760,210,9663780
KEN,Kenya,2020,3486020,3461280,3340910,2988800,2617390,2190500,2030040,1743030,1397050,1088430,821980,627840,477350,351130,220030,116870,65200,24570,4110,250,10,27052790
KIR,Kiribati,2020,7390,6820,6610,5000,5430,4780,4700,3950,3270,2600,2910,2390,1660,1240,910,610,270,110,50,10,0,60710
KWT,Kuwait,2020,141490,148010,135290,100700,93730,89430,139940,185930,174390,160640,119190,70000,48980,22920,14160,6790,3520,920,70,10,0,1656110
KGZ,Kyrgyzstan,2020,370060,375100,294240,245290,252390,279560,287330,220500,182480,167700,155060,152940,121570,82410,48800,21680,23620,11640,3700,810,50,3296930
LAO,Lao People's Democratic Republic,2020,390550,377840,372420,349640,343140,333830,292850,248300,208640,177690,145560,118980,92510,69530,48290,29880,16170,6180,1530,200,20,3623750
LVA,Latvia,2020,54580,45020,49620,42710,33370,57400,69510,59550,61130,68510,62550,78580,73220,72450,47890,60410,35040,26640,14240,3990,480,1016890
LBN,Lebanon,2020,277060,279490,265070,284730,299030,303300,282210,259000,228530,202570,177160,136780,115000,106760,68500,41420,36250,20380,5330,1010,120,3389700
LSO,Lesotho,2020,125890,112600,106480,108470,101140,94490,84140,71770,56430,45390,40380,37370,32680,25360,18200,12190,7540,3730,940,110,10,1085310
LBR,Liberia,2020,362540,332300,305780,271580,229250,187900,166490,147000,122260,99650,80320,65200,51740,38910,25030,17540,8600,2650,390,20,0,2515150
LBY,Libya,2020,303490,321800,303950,274120,266430,274460,292580,288140,277480,236570,182180,125040,85740,63780,43390,32620,19710,8420,2310,340,30,3402580
LTU,Lithuania,2020,70380,75410,59150,59120,65190,87270,89530,73020,81050,100560,96840,128000,105450,99980,69860,77650,55340,42100,20680,5260,480,1462320
LUX,Luxembourg,2020,16150,15920,15520,16740,19250,22070,24500,24520,22440,22750,22700,20690,17150,13620,11460,8600,7010,5220,2470,570,50,309400
MDG,Madagascar,2020,2030870,1808090,1654970,1503050,1340890,1115390,916560,770650,658090,543230,438690,352840,277270,204540,122470,75760,41250,16730,4310,680,60,13876390
MWI,Malawi,2020,1446930,1356960,1275210,1088190,924780,782150,662670,510020,414080,325490,254520,197400,153830,115060,91020,57680,28720,9470,1630,110,0,9695920
MYS,Malaysia,2020,1278630,1216600,1187860,1293150,1389290,1413820,1416880,1286140,989060,920660,833960,709200,606340,468250,343040,192790,119980,52120,14630,2570,240,15735210
MDV,Maldives,2020,17180,17930,16170,12790,14940,20050,22410,19180,13340,11030,9350,7840,5920,3250,2100,2020,1340,560,160,40,10,197610
MLI,Mali,2020,1771980,1550620,1356790,1109560,879940,712300,583980,499430,418620,337230,255940,194010,154250,122650,80120,50700,20570,5890,990,80,0,10105650
MLT,Malta,2020,10530,10310,9830,10050,12140,14420,15810,15580,15110,13760,12300,14010,15180,13910,14510,9330,6740,4220,1820,490,60,220110
MTQ,Martinique,2020,9000,8520,11050,11990,11980,8210,9610,9930,10920,14740,17010,17840,14960,13420,10760,8010,6580,4830,2250,860,190,202660
MRT,Mauritania,2020,338570,304120,265020,231890,205290,183450,165040,141120,116610,94470,76350,61040,47130,33550,24200,15320,7860,2900,680,90,10,2314710
MUS,Mauritius,2020,31400,33760,39520,46410,46610,51090,44150,43020,49290,41150,42690,45940,38920,33490,24800,14420,9490,5280,2150,620,100,644300
MYT,Mayotte,2020,17780,17450,17230,14620,12310,9790,9640,8960,7830,6120,4670,3570,2710,2100,1490,1100,670,380,170,60,20,138670
MEX,Mexico,2020,5353960,5478810,5448050,5514580,5434660,5411640,5041470,4746360,4502230,4233030,3688870,3090560,2500180,1938300,1340720,947530,602440,361120,168100,50440,8240,65861290
FSM,Micronesia (Fed. States of),2020,5970,5710,5810,5560,5640,5110,3910,3400,2900,2780,2640,2320,2050,1400,760,330,180,70,10,0,0,56550
MNG,Mongolia,2020,185240,178820,139410,108330,113570,135060,155120,126360,112900,102440,88420,79260,55050,34350,20720,14570,8360,3960,1110,190,20,1663260
MNE,Montenegro,2020,17780,17780,18750,18640,19790,20580,20740,22670,21670,21160,19340,21370,20480,19640,13920,9760,8090,4060,1130,150,10,317510
MAR,Morocco,2020,1618710,1669830,1521630,1451080,1408720,1487260,1444120,1422750,1248720,1116800,1008570,916090,791200,587090,341850,284030,186220,73840,14030,1100,50,18593690
MOZ,Mozambique,2020,2565780,2273230,2027940,1780980,1473210,1210800,1001850,848390,686050,557610,453160,354690,275270,218980,162730,103290,52680,17560,2800,180,10,16067190
MMR,Myanmar,2020,2231980,2241060,2412700,2530600,2392490,2233590,2115860,2019900,1958230,1831540,1643950,1389380,1158960,911430,523300,323120,178530,72690,17780,2360,170,28189620
NAM,Namibia,2020,167740,159300,141050,123060,123670,116530,101050,81960,67460,56040,44960,38300,30330,22400,14980,10740,6350,2620,650,60,0,1309250
NPL,Nepal,2020,1321070,1370350,1457120,1584070,1685230,1529830,1293060,1119710,991340,826070,683960,558900,440790,352430,264100,187120,82650,31290,8140,1100,70,15788400
NLD,Netherlands,2020,418520,434970,455970,494410,498400,528260,531580,505220,501140,573970,634060,619720,562550,509900,488290,337170,245840,161080,73450,20730,2490,8597720
NCL,New Caledonia,2020,9670,10520,10680,10500,11400,9440,10210,10200,9940,10480,9200,8440,6690,5010,4100,2680,1740,730,280,60,10,141980
NZL,New Zealand,2020,146560,152980,156370,148770,158120,168380,162980,153270,145220,164760,163190,163780,146030,124440,110490,78300,53900,32290,17170,4540,530,2452070
NIC,Nicaragua,2020,321430,321440,308560,291130,283770,286870,275730,259980,222060,184570,150070,128300,109640,83990,47180,38310,25090,13670,5920,1710,310,3359730
NER,Niger,2020,2347100,1951900,1606450,1295350,1023830,799640,640930,539660,440510,357360,295510,236450,180760,132000,98720,58680,24110,6460,970,80,0,12036470
NGA,Nigeria,2020,16561330,14625990,12633390,10758960,8898290,7448240,6430540,5578190,4672880,3771400,2995570,2426330,1892090,1369450,900590,480360,179350,41370,5230,400,20,101669970
MKD,North Macedonia,2020,54220,55710,54270,58840,63240,74390,79070,79850,75680,71710,71940,69550,65840,60540,43580,31260,20550,8720,2100,210,10,1041280
NOR,Norway,2020,146370,152120,156420,157430,170850,180650,184420,174820,167350,182880,182790,163170,153720,137810,135790,95020,64440,43720,22990,7620,880,2681260
OMN,Oman,2020,221750,187280,149830,120870,128710,176830,199140,160320,116300,78150,57710,40300,32770,25610,16520,12840,5820,3070,1730,630,190,1736370
PAK,Pakistan,2020,13453560,12273190,11296760,10532900,10030310,9337100,8221160,6853390,5692600,4728050,4054020,3405940,2613080,1801860,1333670,913610,466970,171740,36340,3810,270,107220330
PAN,Panama,2020,190260,188070,180820,175440,172470,163390,157820,149900,143890,134390,118130,100710,82040,64070,48440,35650,24340,14600,7200,2620,640,2154890
PNG,Papua New Guinea,2020,534540,504210,480930,447360,406680,349810,311060,285700,250320,210660,173610,141970,112300,82100,47870,24960,10860,3340,650,40,0,4378970
PRY,Paraguay,2020,342460,333880,331080,322310,331350,314950,291440,251280,198320,157050,143860,127660,109270,90780,65080,45690,29830,14180,6030,1450,220,3508170
PER,Peru,2020,1383400,1302680,1370500,1256810,1399120,1406340,1320410,1228710,1120270,997910,892090,763850,630350,527780,379330,279580,184200,103410,36750,8660,1090,16593240
PHL,Philippines,2020,5165710,5551880,5328550,5055240,4912580,4672170,4080420,3610180,3254620,2875540,2578050,2174060,1778420,1348670,951810,597110,378170,165700,59190,12610,1580,54552260
POL,Poland,2020,917600,926360,963230,852940,970660,1202070,1355690,1532510,1455920,1285110,1127890,1196280,1445030,1354360,1076250,645090,584930,391930,177360,43720,3820,19508750
PRT,Portugal,2020,194290,213740,239810,256710,269890,270970,287270,336710,395960,420340,389160,390590,359950,337340,314040,260310,213360,145610,60510,14530,1580,5372670
PRI,Puerto Rico,2020,40740,75780,102140,85720,64470,70570,78170,90410,102280,108650,115570,111700,108860,94920,90040,66380,47350,29890,14730,5740,1230,1505340
QAT,Qatar,2020,65900,65780,59490,47790,48140,73110,94080,87080,58080,41800,31070,19260,10600,5940,3810,1820,1270,520,260,80,60,715940
KOR,South Korea,2020,922710,1098050,1101940,1187210,1533120,1629190,1548940,1822800,1909120,2107490,2147030,2078610,1918660,1391280,1068270,897660,679940,379180,143170,35210,3760,25603340
MDA,Moldova,2020,98570,107220,105480,97800,118030,161950,205820,175170,152170,134820,124560,156780,146070,136350,64240,52640,37750,18600,6790,1120,70,2102000
REU,Réunion,2020,31950,33210,33400,34760,31230,27600,26400,27610,30970,31220,33740,31160,25640,21480,14730,10840,7900,4750,2290,1010,110,462000
ROU,Romania,2020,456820,469160,525500,483240,487350,513760,666990,576440,750130,740160,764420,537370,693890,697970,541940,370580,353460,181300,61730,10900,680,9883790
RUS,Russia,2020,4508870,4548680,3988160,3460830,3240760,4417250,6243120,6013650,5476690,5095880,4550660,5757120,5848340,5171850,3467840,2222140,2565340,1070690,546480,91200,8620,78294170
RWA,Rwanda,2020,935210,834770,777260,680680,597070,524870,493750,443630,316680,243670,178890,186190,135760,102800,65270,40790,16260,9940,1110,190,0,6584790
LCA,Saint Lucia,2020,5340,5420,5510,6560,7950,8460,7290,7310,6580,6610,6350,5700,4420,3110,2560,1840,1210,630,280,60,10,93200
VCT,Saint Vincent and the Grenadines,2020,3800,4130,4130,4380,4550,4050,3910,3970,3740,3350,3300,3290,2530,1930,1380,880,770,480,130,20,0,54720
WSM,Samoa,2020,12970,11610,10910,9300,7800,6850,5460,4990,4800,4560,4230,3720,2900,2120,1520,1100,580,220,80,10,0,95730
STP,Sao Tome and Principe,2020,15690,15170,14410,12370,9230,7390,6980,6210,5540,3860,3740,2880,2290,1510,940,600,460,180,70,10,0,109530
SAU,Saudi Arabia,2020,1467630,1467380,1300660,1089820,1105070,1357840,1417030,1332810,1283690,969320,606770,426370,286770,239330,142030,99240,56040,24390,8320,1830,220,14682560
SEN,Senegal,2020,1288930,1192430,1036970,874710,759600,663940,579440,503110,407510,329310,262090,207900,163710,126450,85150,54850,26920,8520,1490,130,10,8573170
SRB,Serbia,2020,202350,210980,235170,248000,256070,277790,300080,294980,310650,307000,290320,284500,289160,322780,259130,155210,125860,66890,18590,2130,80,4457720
SYC,Seychelles,2020,3870,3870,3630,3150,3090,3350,3230,3300,3440,3540,3350,3130,2440,1580,870,900,620,350,150,30,0,47890
SLE,Sierra Leone,2020,577750,532750,495360,435970,375780,322910,272410,226910,183260,149360,120180,95490,73420,55070,39020,23790,11290,3950,940,140,10,3995760
SGP,Singapore,2020,124110,107080,117610,128300,178220,197270,204200,224120,227840,231860,217760,219920,204850,166300,100080,55270,42640,25480,11550,3050,600,2788110
SVK,Slovakia,2020,138510,138270,137950,128180,141680,178170,200920,212680,222660,198700,174810,186790,192300,184460,138280,102240,67970,40220,13850,2420,100,2801160
SVN,Slovenia,2020,49240,52890,50650,44540,46460,53260,64350,71440,74900,69660,74370,74480,72760,70750,52150,45770,36590,25770,11050,2480,160,1043720
SLB,Solomon Islands,2020,50040,45030,38120,33840,29210,24590,21480,20450,19080,15820,11340,8920,6670,4810,3760,2540,1160,590,140,30,0,337620
SOM,Somalia,2020,1402530,1186560,1053590,905610,765970,582560,438180,338660,287960,255830,212240,167540,132500,101200,68860,40090,20310,6850,1800,280,30,7969150
ZAF,South Africa,2020,2845950,2877310,2721340,2440830,2447270,2588760,2664080,2377610,1917270,1655020,1401330,1183830,990310,784770,535900,367670,202850,75490,14020,1030,40,30092680
SSD,South Sudan,2020,842530,759620,682140,594880,528070,449610,372430,295630,246900,204380,169470,136210,105900,76860,59840,38230,19040,7090,1650,230,20,5590730
ESP,Spain,2020,964430,1087680,1207310,1087230,1100940,1157540,1302930,1646630,1974360,1925090,1803610,1729680,1513060,1253410,1181370,1005240,757760,660690,323320,83620,10560,23776460
LKA,Sri Lanka,2020,816080,833570,857100,833940,752760,731640,729110,785990,793750,696970,677380,648370,600760,493920,415180,254240,130460,67930,23240,3340,190,11145920
