iso3c,countryname,year,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,total
TJK,Tajikistan,2020,697535,626648,502336,415923,425447,412512,391557,302351,234756,200017,180413,158148,118135,66177,36111,18974,12860,4305,1418,111,4,4805738
THA,Thailand,2020,1850417,1976670,2117236,2244846,2449911,2427195,2231722,2361773,2580352,2680302,2658634,2405809,2039042,1493033,1012908,682768,437181,214395,81178,17978,2710,33966060
TLS,Timor-Leste,2020,90693,78325,78085,77508,65832,58282,45340,35045,23326,27514,24538,20416,15086,9770,8479,4920,2271,656,140,15,1,666242
TGO,Togo,2020,611674,561621,513865,447288,373141,316365,283604,247805,205162,161907,123729,93632,69662,50085,32819,17933,7068,1788,240,16,0,4119404
TON,Tonga,2020,6263,6420,6384,5925,5048,3707,2889,2773,2530,2351,2414,1929,1396,1093,761,514,326,138,38,5,0,52904
TTO,Trinidad and Tobago,2020,44905,48795,48834,45303,43277,48974,58775,62801,50492,44587,40452,44637,36701,28619,20301,12885,6717,2733,925,205,29,690947
TUN,Tunisia,2020,515063,522024,441989,408536,426108,456673,449414,485205,407879,352258,339695,320786,263858,202129,112162,76636,49027,24187,6086,976,61,5860752
TUR,Turkey,2020,3356730,3502739,3462103,3488963,3449266,3244671,3218521,3188251,2977206,2661822,2315977,1989447,1580771,1212619,861882,583891,355837,152903,29563,2829,134,41636125
TKM,Turkmenistan,2020,335491,340575,265315,244979,233163,276035,262120,213450,186025,155193,137592,113456,88455,56121,29035,14452,12092,4274,1328,146,13,2969310
UGA,Uganda,2020,3938451,3561034,3119806,2636412,2123674,1713437,1365364,1077750,846052,662255,515252,370051,255090,172247,104873,56142,21328,6484,843,43,1,22546589
UKR,Ukraine,2020,1087540,1274658,1237435,1021056,1100799,1408741,1824887,1828869,1627017,1473562,1298962,1380075,1225646,999434,633399,376770,319817,103844,36422,3962,253,20263148
ARE,United Arab Emirates,2020,254845,261570,231043,200605,487250,1082433,1321938,966919,677914,534173,335612,255272,143690,36818,24189,14618,4405,2394,531,121,9,6836349
GBR,United Kingdom,2020,2009363,2108550,2022370,1880611,2072674,2275138,2361054,2279836,2148253,2128343,2281421,2232388,1919839,1647391,1624635,1137438,766956,438663,169952,34524,3016,33542415
TZA,United Republic of Tanzania,2020,4924670,4361607,3869194,3242031,2640504,2294680,1946604,1624465,1339311,1063236,818935,611016,444732,304962,200387,106873,44498,11856,1480,65,2,29851108
USA,United States of America,2020,10055063,10246393,10777513,10834321,11322732,12144455,11702514,10858871,10118582,9969099,10319535,10702065,10049886,8465274,6645519,4326986,2805623,1538659,703131,179003,20792,163786016
VIR,United States Virgin Islands,2020,3073,3552,3600,3511,3369,3134,2112,2225,2516,2902,3308,3458,3520,2941,2849,2055,972,381,106,15,2,49601
URY,Uruguay,2020,120998,120696,119355,125373,129196,130680,120774,110535,116131,108977,94801,92752,83283,68057,53325,38711,24278,13862,5155,1192,205,1678336
UZB,Uzbekistan,2020,1766870,1683922,1500617,1296217,1419687,1616005,1523580,1264608,1038719,889583,749442,703547,544985,354844,148930,98191,65170,23652,7430,825,94,16696918
VUT,Vanuatu,2020,21657,20094,19240,15539,13187,11719,10958,8871,8080,6625,5963,4543,3494,2427,1596,884,643,145,23,2,0,155690
VEN,Venezuela,2020,1202873,1394843,1359749,1275233,1054724,1003451,1008211,952682,903880,822050,772827,677220,557009,403603,273791,168240,90992,43393,15371,3999,791,13984932
VNM,Vietnam,2020,4164842,4004759,3734036,3364847,3500183,4363621,4278909,3915663,3525539,3266831,2907946,2530100,2012144,1339456,664802,422995,298067,193013,79054,25681,5766,48598254
ESH,Western Sahara,2020,28540,28336,25137,24463,25515,28181,29736,28642,24753,19788,15861,12711,9714,5971,2726,1242,658,228,52,6,0,312260
YEM,Yemen,2020,2099843,1998266,1808305,1627521,1482136,1419189,1173529,908535,694883,509275,363681,299483,243806,173950,118244,63895,28427,9383,2262,345,27,15024985
ZMB,Zambia,2020,1489489,1370881,1222790,1062327,866795,703692,581647,484587,397443,297666,210398,154799,107083,70382,45200,24257,10375,2805,370,19,1,9103006
ZWE,Zimbabwe,2020,1054557,1109514,962699,816706,672142,503568,430306,388501,339915,239524,179077,135632,99465,71649,42336,29113,13034,3697,540,33,2,7092010
