country,R0,dose,Reff,0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70+
China,2.6,0.4,2.164791189,0.00826756,0,0.164046222,0,0.419678789,0.990355158,1,0.831102399
China,2.6,0.4,2.164855482,0.03220985,0,0.0665601,0.047645992,0.532331559,0.880866006,0.910793918,1
China,2.6,0.4,2.16530627,0.028243215,0.080434789,0.204970434,0.044387292,0.194557078,1,1,0.953047557
China,2.6,0.4,2.165345968,0.022958802,0.03167064,0.054420935,0.423259022,0.238931838,0.727979607,0.985057966,0.986865841
China,2.6,0.4,2.166019206,0.020088425,0,0.031991263,0,0.810239327,0.668954713,1,0.927298948
China,2.6,0.4,2.16605072,0.066519473,0.13060812,0,0.27062279,0.129548521,0.958519201,1,0.89754047
China,2.6,0.4,2.166106272,0.101569394,0,0,0.511868426,0.119957888,0.774507062,1,0.93353218
China,2.6,0.4,2.166947369,0.048226027,0.00284589,0,0,0.775256476,0.718970375,0.93380978,1
China,2.6,0.4,2.167166938,0.094064954,0,0.103496024,0.26572103,0.3110906,0.734465203,1,0.995048255
China,2.6,0.4,2.167406667,0.193908165,0,0,0.186642476,0.199891505,1,1,0.844719905
China,2.6,0.4,2.167579333,0.033035376,0.002322781,0.162955517,0.377004834,0,0.980443684,0.90535966,1
China,2.6,0.4,2.167608173,0.046396245,0.10594358,0,0.107695217,0.368714933,0.962424884,0.989418933,0.835129392
China,2.6,0.4,2.16799801,0.10888071,0.136259446,0.037024307,0.276177611,0,1,1,0.922850475
China,2.6,0.4,2.168028503,0.142453532,0.03059892,0.104370894,0.385021987,0,0.851153799,1,1
China,2.6,0.4,2.169015243,0.016381167,0.160598892,0,0.265720519,0.290210189,0.811717188,0.950720504,1
China,2.6,0.4,2.169497371,0.017597966,0,0.069893751,0.224331679,0.36185903,0.924894021,1,0.744934111
China,2.6,0.4,2.169738437,0.029525137,0,0.075442642,0.343276569,0.39225262,0.684014666,0.944913037,1
China,2.6,0.4,2.170058364,0.090214214,0.068424464,0.146271223,0.276749402,0,0.984029473,1,0.899185908
China,2.6,0.4,2.170741125,0.008893709,0,0,0.043577511,0.627961531,0.960934283,1,0.645789673
China,2.6,0.4,2.171108449,0.082515626,0.028734662,0.205695803,0.259215057,0,1,1,0.872564166
China,2.6,0.4,2.171340198,0.01869533,0,0,0.731340748,0.241805417,0.464262191,1,1
China,2.6,0.4,2.171445747,0.001508857,0.082415389,0.254951674,0.201636801,0.177044737,0.820498162,0.987183064,1
China,2.6,0.4,2.171772283,0.159191226,0.144004106,0,0.222809606,0.058847048,1,0.986286406,0.908100198
China,2.6,0.4,2.17274232,0.17608875,0.256781912,0,0.089003557,0.04889555,1,1,1
China,2.6,0.4,2.172754153,0.109181958,0.091670374,0.130084967,0,0.297687126,0.966745831,0.957645628,0.951631753
China,2.6,0.4,2.173589742,0.323698685,0,0,0.006553072,0.397810378,0.840143279,0.98562231,0.987258258
China,2.6,0.4,2.173859088,0.193528174,0,0.127490347,0.090864462,0.262161321,0.907163418,0.936122786,1
China,2.6,0.4,2.174871906,0.147313771,0.152166617,0,0.303608773,0.01030238,0.978497501,0.920264621,0.984131604
China,2.6,0.4,2.17610322,0.176998046,0.103012299,0.001947903,0.130837686,0.475319378,0.655130026,1,1
China,2.6,0.4,2.176690722,0.059781299,0.28036355,0,0.349307183,0.106628447,0.747413999,1,1
China,2.6,0.4,2.177031979,0.19220414,0,0.124049981,0.392132213,0.147604921,0.668592146,1,1
China,2.6,0.4,2.178795737,0.293654984,0.025013702,0,0.225712015,0.181382396,0.876433283,1,0.858210204
China,2.6,0.4,2.178815977,0.063995663,0.077390583,0,0.424321937,0.293541307,0.720536922,0.891768967,0.978837528
China,2.6,0.4,2.18005159,0.314254161,0.071493264,0,0.205458967,0.22897077,0.743737472,0.99118169,1
China,2.6,0.4,2.180272074,0.274612882,0,0,0.136322023,0.390880664,0.81241756,0.999436457,0.826677356
China,2.6,0.6,2.045431501,0.064123781,0,0,0.894615824,0.814268061,1,1,1
China,2.6,0.6,2.049577618,0.0369207,0.101158911,0,0.732904715,0.942901564,0.986472375,1,1
China,2.6,0.6,2.052359987,0.028355577,0,0,0.877045963,1,0.886202387,0.96881498,1
China,2.6,0.6,2.053585804,0.157690334,0.065922332,0,0.621192129,0.979071284,1,1,1
China,2.6,0.6,2.055139416,0.075918567,0.025279788,0.146118915,1,0.553548715,0.995279585,1,1
China,2.6,0.6,2.055943444,0.177554887,0.019556381,0,0.855113447,0.769336746,1,0.974498423,1
China,2.6,0.6,2.056543765,0.228831871,0.00160388,0,0.837188229,0.785867229,0.959049526,1,1
China,2.6,0.6,2.056859295,0.047629964,0.161473742,0,0.699005936,1,0.912394644,1,1
China,2.6,0.6,2.057470047,0.025645786,0.07419372,0.240277209,0.686344593,0.802135825,1,1,1
China,2.6,0.6,2.057813679,0.049611986,0.21359896,0.048054086,0.535634658,1,1,1,1
China,2.6,0.6,2.058469868,0.018011626,0,0.216864985,1,0.584861179,1,1,0.930491291
